delta,gamma,steady_time
0.18979591836734694,2.8061224489795915,42.7
0.18979591836734694,2.8469387755102042,42.150000000000006
0.18979591836734694,2.887755102040816,41.85
0.18979591836734694,2.9285714285714284,41.6
0.18979591836734694,2.9693877551020407,41.35
0.18979591836734694,3.010204081632653,41.1
0.18979591836734694,3.0510204081632653,40.550000000000004
0.18979591836734694,3.091836734693877,40.35
0.18979591836734694,3.13265306122449,40.150000000000006
0.18979591836734694,3.1734693877551017,40.0
0.18979591836734694,3.2142857142857144,39.85
0.18979591836734694,3.2551020408163263,39.7
0.18979591836734694,3.2959183673469385,39.45
0.18979591836734694,3.336734693877551,38.95
0.18979591836734694,3.377551020408163,38.75
0.18979591836734694,3.4183673469387754,38.6
0.18979591836734694,3.4591836734693877,45.2
0.18979591836734694,3.5,45.050000000000004
0.1979591836734694,1.5,21.75
0.1979591836734694,1.5408163265306123,21.700000000000003
0.1979591836734694,1.5816326530612246,23.150000000000002
0.1979591836734694,1.6224489795918366,23.25
0.1979591836734694,1.663265306122449,23.200000000000003
0.1979591836734694,1.7040816326530612,23.1
0.1979591836734694,1.7448979591836735,24.6
0.1979591836734694,1.7857142857142856,24.6
0.1979591836734694,1.8265306122448979,25.85
0.1979591836734694,1.8673469387755102,25.950000000000003
0.1979591836734694,1.9081632653061225,27.35
0.1979591836734694,1.9489795918367347,27.05
0.1979591836734694,1.989795918367347,30.0
0.1979591836734694,2.0306122448979593,9.65
0.1979591836734694,2.071428571428571,46.400000000000006
0.1979591836734694,2.1122448979591835,44.0
0.1979591836734694,2.1530612244897958,42.85
0.1979591836734694,2.193877551020408,41.6
0.1979591836734694,2.2346938775510203,40.550000000000004
